# PlayerID,PlayerName,PlayerPosition,TeamAbbName,TeamID,GP,MIN,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,RBO,RBD,RBT,AST,TO,STL,BLK,PF,PPG,TR
# LASTUPDATED: 2013/04/19 @ 14:01:49
# NOTE: Thank-you for supporting this site.
# COPYRIGHT: Copyright 2013 SPXStats.com
"# DISCLAIMER: This file is provided 'as is' with no warranties whatsoever, and is to be used for entertainment purposes only. By opening this file, you agree to our Terms of Service found at http://www.SportsInteractive.com/terms.asp."
# VERSION: 5.0
# ROWCOUNT: 469
# TRADECOUNT: 66
# SOURCECOUNT: 30
,Jodie Meeks,,,,78,,,,38.7,,,35.7,,,89.6,,,,,,,,,7.9
,Steve Blake,,,,45,,,,42.2,,,42.1,,,77.1,,,,,,,,,7.3
,Earl Clark,,,,59,,,,44.0,,,33.7,,,69.7,,,,,,,,,7.3
,Jordan Hill,,,,29,,,,49.7,,,0.0,,,65.6,,,,,,,,,6.7
,Darius Morris,,,,48,,,,38.8,,,36.4,,,64.9,,,,,,,,,4.0
,Devin Ebanks,,,,19,,,,32.9,,,27.3,,,78.6,,,,,,,,,3.4
,Chris Duhon,,,,46,,,,38.2,,,36.3,,,46.2,,,,,,,,,2.9
,Robert Sacre,,,,32,,,,37.5,,,N/A,,,63.6,,,,,,,,,1.3
,Andrew Goudelock,,,,1,,,,0.0,,,N/A,,,N/A,,,,,,,,,0.0
,Darius Johnson-Odom,,,,4,,,,0.0,,,0.0,,,N/A,,,,,,,,,0.0
,Zach Randolph,,,,76,,,,46.0,,,8.7,,,75.0,,,,,,,,,15.4
,Mike Conley,,,,80,,,,44.0,,,36.2,,,83.0,,,,,,,,,14.6
,Marc Gasol,,,,80,,,,49.4,,,7.1,,,84.8,,,,,,,,,14.1
,Tayshaun Prince,,,,82,,,,43.8,,,40.4,,,73.8,,,,,,,,,10.4
,Tony Allen,,,,79,,,,44.5,,,12.5,,,71.7,,,,,,,,,8.9
,Jerryd Bayless,,,,80,,,,41.9,,,35.3,,,83.6,,,,,,,,,8.7
,Ed Davis,,,,81,,,,53.9,,,N/A,,,61.7,,,,,,,,,7.7
,Quincy Pondexter,,,,59,,,,42.8,,,39.5,,,78.7,,,,,,,,,6.4
,Darrell Arthur,,,,59,,,,45.1,,,27.8,,,71.7,,,,,,,,,6.1
,Austin Daye,,,,55,,,,43.3,,,41.8,,,76.5,,,,,,,,,4.5
,Keyon Dooling,,,,7,,,,47.6,,,41.7,,,85.7,,,,,,,,,4.4
,Chris Johnson,,,,8,,,,44.0,,,33.3,,,50.0,,,,,,,,,3.6
,Tony Wroten,,,,35,,,,38.4,,,25.0,,,72.4,,,,,,,,,2.6
,Josh Selby,,,,10,,,,27.3,,,16.7,,,63.6,,,,,,,,,2.0
,Jon Leuer,,,,28,,,,48.1,,,0.0,,,46.2,,,,,,,,,2.0
,Dexter Pittman,,,,11,,,,36.4,,,N/A,,,0.0,,,,,,,,,0.7
,LeBron James,,,,76,,,,56.5,,,40.6,,,75.3,,,,,,,,,26.8
,Dwyane Wade,,,,69,,,,52.1,,,25.8,,,72.5,,,,,,,,,21.2
,Chris Bosh,,,,74,,,,53.5,,,28.4,,,79.8,,,,,,,,,16.6
,Ray Allen,,,,79,,,,44.9,,,41.9,,,88.6,,,,,,,,,10.9
,Mario Chalmers,,,,77,,,,42.9,,,40.9,,,79.5,,,,,,,,,8.6
,Shane Battier,,,,72,,,,42.0,,,43.0,,,84.2,,,,,,,,,6.6
,Norris Cole,,,,80,,,,42.1,,,35.7,,,65.0,,,,,,,,,5.6
,Rashard Lewis,,,,55,,,,41.4,,,38.9,,,62.2,,,,,,,,,5.2
,Chris Andersen,,,,42,,,,57.7,,,66.7,,,67.7,,,,,,,,,4.9
,Mike Miller,,,,59,,,,43.3,,,41.7,,,72.7,,,,,,,,,4.8
,Udonis Haslem,,,,75,,,,51.4,,,N/A,,,71.1,,,,,,,,,3.9
,Juwan Howard,,,,7,,,,52.6,,,N/A,,,100.0,,,,,,,,,3.0
,Josh Harrellson,,,,6,,,,44.4,,,20.0,,,50.0,,,,,,,,,1.7
,James Jones,,,,38,,,,34.4,,,30.2,,,50.0,,,,,,,,,1.6
,Joel Anthony,,,,62,,,,51.5,,,N/A,,,60.7,,,,,,,,,1.4
,Jarvis Varnado,,,,13,,,,42.9,,,N/A,,,50.0,,,,,,,,,0.6
,Monta Ellis,,,,82,,,,41.6,,,28.7,,,77.3,,,,,,,,,19.2
,Brandon Jennings,,,,80,,,,39.9,,,37.5,,,81.9,,,,,,,,,17.5
,J.J. Redick,,,,78,,,,43.4,,,36.6,,,90.0,,,,,,,,,14.1
,Ersan Ilyasova,,,,73,,,,46.2,,,44.4,,,79.6,,,,,,,,,13.2
,Mike Dunleavy,,,,75,,,,44.2,,,42.8,,,82.0,,,,,,,,,10.5
,Larry Sanders,,,,71,,,,50.6,,,0.0,,,61.8,,,,,,,,,9.8
,Luc Richard Mbah a Moute,,,,58,,,,40.1,,,35.1,,,57.1,,,,,,,,,6.7
,Samuel Dalembert,,,,47,,,,54.2,,,100.0,,,69.1,,,,,,,,,6.7
,John Henson,,,,63,,,,48.2,,,0.0,,,53.3,,,,,,,,,6.0
,Marquis Daniels,,,,59,,,,37.6,,,27.8,,,74.1,,,,,,,,,5.5
,Ekpe Udoh,,,,76,,,,43.5,,,0.0,,,74.8,,,,,,,,,4.3
,Gustavo Ayon,,,,55,,,,55.1,,,N/A,,,40.0,,,,,,,,,3.7
,Drew Gooden,,,,16,,,,32.8,,,20.0,,,68.8,,,,,,,,,3.3
,Ish Smith,,,,52,,,,35.2,,,29.6,,,42.9,,,,,,,,,2.4
,Joel Przybilla,,,,12,,,,25.0,,,N/A,,,0.0,,,,,,,,,0.2
,Kevin Love,,,,18,,,,35.2,,,21.7,,,70.4,,,,,,,,,18.3
,Nikola Pekovic,,,,62,,,,52.0,,,N/A,,,74.4,,,,,,,,,16.3
,Andrei Kirilenko,,,,64,,,,50.7,,,29.2,,,75.2,,,,,,,,,12.4
,Derrick Williams,,,,78,,,,43.0,,,33.2,,,70.6,,,,,,,,,12.0
,Luke Ridnour,,,,82,,,,45.3,,,31.1,,,84.8,,,,,,,,,11.5
,J.J. Barea,,,,74,,,,41.7,,,34.6,,,78.4,,,,,,,,,11.3
,Ricky Rubio,,,,57,,,,36.0,,,29.3,,,79.9,,,,,,,,,10.7
,Chase Budinger,,,,23,,,,41.4,,,32.1,,,76.2,,,,,,,,,9.4
,Dante Cunningham,,,,80,,,,46.8,,,0.0,,,65.0,,,,,,,,,8.7
